pred,rsq
mat,0.32851900457998773
aet,0.329939453651209
TP,0.3302103116534087
TK,0.3327783610953349
map,0.33257639112737875
T_CEC_SOIL,0.3344742542861426
ORGC,0.33495956731460663
T_OC,0.33439885192163826
jmax25,0.3347546424957128
gti,0.3359138383838665
T_CACO3,0.3366764961524993
T_ECE,0.3364416492838773
CNrt,0.3364767804130463
mavgs,0.33730026829143905
T_TEB,0.3388517604614947
maigs,0.3377772854401957
T_BULK_DENSITY,0.3389542439685552
T_CEC_CLAY,0.34023413245464673
T_SAND,0.339143412941029
matgs,0.33925021274743167
T_ESP,0.34140639175394044
T_PH_H2O,0.34150507794568935
tmonthmax,0.34161439055105697
TOTN,0.34253797354062676
ALSA,0.3435254421305545
T_BS,0.3439227974900933
T_SILT,0.3455280397374805
ndaysgs,0.34440528901815354
T_CLAY,0.345682723739119
mav,0.3467148833682282
T_GRAVEL,0.3452482516863759
elv,0.3442904891445166
mai,0.34511617398976085
vcmax25,0.3436150432866723
cwdx80,0.34237074299861375
mapgs,0.3425011393894572
pmonthmin,0.3392866828006744
AWC_CLASS,0.33755432129085694
gs_accl,0.3350807534438754
alpha,0.32817797762382656
PBR,0.3127622848613507
NA,0.31924198537445847
